127.0.0.1 - - [17/May/2016:15:04:23 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:25 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:25 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:33 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=42.33596&stringLong=-83.049712 HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:33 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:38 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:38 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:38 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:41 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:41 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:43 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:44 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:45 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:45 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:04:45 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:05 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:05 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:05 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:05 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:06 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:20 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:20 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:05:22 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:06:41 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [17/May/2016:15:06:41 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:06:41 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 6211
0:0:0:0:0:0:0:1 - - [17/May/2016:15:06:41 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:08:47 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [17/May/2016:15:08:47 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:08:47 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:08:47 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:14 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:14 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:14 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:14 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:20 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:20 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:30 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=41.8781136&stringLong=-87.62979819999998 HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:30 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:09:30 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:04 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:04 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:04 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:06 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4282
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:06 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:06 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:11 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4282
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:11 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:11 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:12:11 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:13:19 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [17/May/2016:15:13:19 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:13:19 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:13:19 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:09 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:09 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:09 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:11 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:11 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:11 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:12 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:12 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:13 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:18 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=craig.rodewald%40gmail.com&password=123456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:18 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:18 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:56 -0400] "GET /ParkPalSpringMVC/index.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:14:56 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:15:56:23 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [17/May/2016:15:56:24 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 6211
0:0:0:0:0:0:0:1 - - [17/May/2016:15:56:24 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:25:10 -0400] "GET /ParkPalSpringMVC/userLogged?stringLat=42.331427&stringLong=-83.0457538 HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [17/May/2016:16:25:10 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:16:25:10 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:36 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:36 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:47 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:47 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:49 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:49 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:50 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:50 -0400] "GET /ParkPalSpringMVC/%3Cc:url%20value= HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:50 -0400] "GET /ParkPalSpringMVC/resources/css/resources/images/bx-slider/bg1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/May/2016:16:29:52 -0400] "GET /ParkPalSpringMVC/register HTTP/1.1" 200 2015
